colour	x	y	group	showSelectedlegendcolour
#F8766D	1960	70.8170731708781	1	East Asia & Pacific (all income levels)
#F8766D	1961	70.9731707317073	1	East Asia & Pacific (all income levels)
#F8766D	1962	70.9424390243903	1	East Asia & Pacific (all income levels)
#F8766D	1963	70.9117073170732	1	East Asia & Pacific (all income levels)
#F8766D	1964	70.8809756097561	1	East Asia & Pacific (all income levels)
#F8766D	1965	70.850243902439	1	East Asia & Pacific (all income levels)
#F8766D	1966	70.819512195122	1	East Asia & Pacific (all income levels)
#F8766D	1967	70.8692682926829	1	East Asia & Pacific (all income levels)
#F8766D	1968	70.9190243902439	1	East Asia & Pacific (all income levels)
#F8766D	1969	70.9687804878049	1	East Asia & Pacific (all income levels)
#F8766D	1970	71.0185365853659	1	East Asia & Pacific (all income levels)
#F8766D	1971	71.0682926829268	1	East Asia & Pacific (all income levels)
#F8766D	1972	71.4575609756098	1	East Asia & Pacific (all income levels)
#F8766D	1973	71.8468292682927	1	East Asia & Pacific (all income levels)
#F8766D	1974	72.2360975609756	1	East Asia & Pacific (all income levels)
#F8766D	1975	72.6253658536586	1	East Asia & Pacific (all income levels)
#F8766D	1976	73.0146341463415	1	East Asia & Pacific (all income levels)
#F8766D	1977	73.3443902439024	1	East Asia & Pacific (all income levels)
#F8766D	1978	73.6741463414634	1	East Asia & Pacific (all income levels)
#F8766D	1979	74.0039024390244	1	East Asia & Pacific (all income levels)
#F8766D	1980	74.3336585365854	1	East Asia & Pacific (all income levels)
#F8766D	1981	74.6634146341463	1	East Asia & Pacific (all income levels)
#F8766D	1982	74.9048780487805	1	East Asia & Pacific (all income levels)
#F8766D	1983	75.1463414634146	1	East Asia & Pacific (all income levels)
#F8766D	1984	75.3878048780488	1	East Asia & Pacific (all income levels)
#F8766D	1985	75.6292682926829	1	East Asia & Pacific (all income levels)
#F8766D	1986	75.8707317073171	1	East Asia & Pacific (all income levels)
#F8766D	1987	76.1517073170732	1	East Asia & Pacific (all income levels)
#F8766D	1988	76.4326829268293	1	East Asia & Pacific (all income levels)
#F8766D	1989	76.7136585365854	1	East Asia & Pacific (all income levels)
#F8766D	1990	76.9946341463415	1	East Asia & Pacific (all income levels)
#F8766D	1991	77.2756097560976	1	East Asia & Pacific (all income levels)
#F8766D	1992	77.3780487804878	1	East Asia & Pacific (all income levels)
#F8766D	1993	77.8780487804878	1	East Asia & Pacific (all income levels)
#F8766D	1994	77.8780487804878	1	East Asia & Pacific (all income levels)
#F8766D	1995	77.8292682926829	1	East Asia & Pacific (all income levels)
#F8766D	1996	78.0780487804878	1	East Asia & Pacific (all income levels)
#F8766D	1997	78.4804878048781	1	East Asia & Pacific (all income levels)
#F8766D	1998	78.6317073170732	1	East Asia & Pacific (all income levels)
#F8766D	1999	78.9317073170732	1	East Asia & Pacific (all income levels)
#F8766D	2000	79.2341463414634	1	East Asia & Pacific (all income levels)
#F8766D	2001	79.6341463414634	1	East Asia & Pacific (all income levels)
#F8766D	2002	79.9365853658537	1	East Asia & Pacific (all income levels)
#F8766D	2003	80.2390243902439	1	East Asia & Pacific (all income levels)
#F8766D	2004	80.490243902439	1	East Asia & Pacific (all income levels)
#F8766D	2005	80.8414634146341	1	East Asia & Pacific (all income levels)
#F8766D	2006	81.0414634146342	1	East Asia & Pacific (all income levels)
#F8766D	2007	81.2926829268293	1	East Asia & Pacific (all income levels)
#F8766D	2008	81.3951219512195	1	East Asia & Pacific (all income levels)
#F8766D	2009	81.5439024390244	1	East Asia & Pacific (all income levels)
#F8766D	2010	81.6951219512195	1	East Asia & Pacific (all income levels)
#F8766D	2011	81.8463414634146	1	East Asia & Pacific (all income levels)
#F8766D	1960	62.3364634146342	3	East Asia & Pacific (all income levels)
#F8766D	1961	62.8772682926829	3	East Asia & Pacific (all income levels)
#F8766D	1962	63.4029756097561	3	East Asia & Pacific (all income levels)
#F8766D	1963	63.9135853658537	3	East Asia & Pacific (all income levels)
#F8766D	1964	64.4106097560976	3	East Asia & Pacific (all income levels)
#F8766D	1965	64.8935853658537	3	East Asia & Pacific (all income levels)
#F8766D	1966	65.362	3	East Asia & Pacific (all income levels)
#F8766D	1967	65.8169024390244	3	East Asia & Pacific (all income levels)
#F8766D	1968	66.2588048780488	3	East Asia & Pacific (all income levels)
#F8766D	1969	66.6882195121951	3	East Asia & Pacific (all income levels)
#F8766D	1970	67.1051463414634	3	East Asia & Pacific (all income levels)
#F8766D	1971	67.5096097560976	3	East Asia & Pacific (all income levels)
#F8766D	1972	67.9030975609756	3	East Asia & Pacific (all income levels)
#F8766D	1973	68.2850731707317	3	East Asia & Pacific (all income levels)
#F8766D	1974	68.6580731707317	3	East Asia & Pacific (all income levels)
#F8766D	1975	69.0215853658537	3	East Asia & Pacific (all income levels)
#F8766D	1976	69.3760975609756	3	East Asia & Pacific (all income levels)
#F8766D	1977	69.7221219512195	3	East Asia & Pacific (all income levels)
#F8766D	1978	70.0611463414634	3	East Asia & Pacific (all income levels)
#F8766D	1979	70.3926829268293	3	East Asia & Pacific (all income levels)
#F8766D	1980	70.7172195121951	3	East Asia & Pacific (all income levels)
#F8766D	1981	71.035756097561	3	East Asia & Pacific (all income levels)
#F8766D	1982	71.3482926829268	3	East Asia & Pacific (all income levels)
#F8766D	1983	71.6538292682927	3	East Asia & Pacific (all income levels)
#F8766D	1984	71.9543658536585	3	East Asia & Pacific (all income levels)
#F8766D	1985	72.2489024390244	3	East Asia & Pacific (all income levels)
#F8766D	1986	72.5384390243903	3	East Asia & Pacific (all income levels)
#F8766D	1987	72.8234878048781	3	East Asia & Pacific (all income levels)
#F8766D	1988	73.1040487804878	3	East Asia & Pacific (all income levels)
#F8766D	1989	73.3810975609756	3	East Asia & Pacific (all income levels)
#F8766D	1990	73.6536585365854	3	East Asia & Pacific (all income levels)
#F8766D	1991	73.9232195121951	3	East Asia & Pacific (all income levels)
#F8766D	1992	74.1887804878049	3	East Asia & Pacific (all income levels)
#F8766D	1993	74.4508292682927	3	East Asia & Pacific (all income levels)
#F8766D	1994	74.7098780487805	3	East Asia & Pacific (all income levels)
#F8766D	1995	74.9674146341464	3	East Asia & Pacific (all income levels)
#F8766D	1996	75.2239268292683	3	East Asia & Pacific (all income levels)
#F8766D	1997	75.4809024390244	3	East Asia & Pacific (all income levels)
#F8766D	1998	75.7363658536586	3	East Asia & Pacific (all income levels)
#F8766D	1999	75.9883414634146	3	East Asia & Pacific (all income levels)
#F8766D	2000	76.2323414634146	3	East Asia & Pacific (all income levels)
#F8766D	2001	76.4649024390244	3	East Asia & Pacific (all income levels)
#F8766D	2002	76.6810487804878	3	East Asia & Pacific (all income levels)
#F8766D	2003	76.8808048780488	3	East Asia & Pacific (all income levels)
#F8766D	2004	77.0626341463415	3	East Asia & Pacific (all income levels)
#F8766D	2005	77.2285853658537	3	East Asia & Pacific (all income levels)
#F8766D	2006	77.3806097560976	3	East Asia & Pacific (all income levels)
#F8766D	2007	77.5241951219512	3	East Asia & Pacific (all income levels)
#F8766D	2008	77.6622926829268	3	East Asia & Pacific (all income levels)
#F8766D	2009	77.7979268292683	3	East Asia & Pacific (all income levels)
#F8766D	2010	77.9320243902439	3	East Asia & Pacific (all income levels)
#F8766D	2011	78.0651219512195	3	East Asia & Pacific (all income levels)
#F8766D	1960	42.4041463414634	5	East Asia & Pacific (all income levels)
#F8766D	1961	42.8949024390244	5	East Asia & Pacific (all income levels)
#F8766D	1962	43.4316829268293	5	East Asia & Pacific (all income levels)
#F8766D	1963	43.990512195122	5	East Asia & Pacific (all income levels)
#F8766D	1964	44.5283902439024	5	East Asia & Pacific (all income levels)
#F8766D	1965	44.9758536585366	5	East Asia & Pacific (all income levels)
#F8766D	1966	45.2554146341463	5	East Asia & Pacific (all income levels)
#F8766D	1967	45.3065853658537	5	East Asia & Pacific (all income levels)
#F8766D	1968	45.0818536585366	5	East Asia & Pacific (all income levels)
#F8766D	1969	44.5562195121951	5	East Asia & Pacific (all income levels)
#F8766D	1970	43.6327073170732	5	East Asia & Pacific (all income levels)
#F8766D	1971	42.2078536585366	5	East Asia & Pacific (all income levels)
#F8766D	1972	40.3466097560976	5	East Asia & Pacific (all income levels)
#F8766D	1973	38.2119268292683	5	East Asia & Pacific (all income levels)
#F8766D	1974	36.0111951219512	5	East Asia & Pacific (all income levels)
#F8766D	1975	34.1257317073171	5	East Asia & Pacific (all income levels)
